COLLECTION_ID,FROG_ID,GOSNER_STAGE,SVL,TAIL_LENGTH,FROG_COMMENTS,ABNORMAL,BLEEDING_INJ,SKEL_AB,EYE_AB,SURF_AB,Perkensus,SITE,DATE,YEAR
KNA1021-RASY-080712,15,45,17,2,,0,0,0,0,0,0,KNA1021,8/7/2012,2012
KNA1024-RASY-080812,13,44,22,20,,0,0,0,0,0,0,KNA1024,8/8/2012,2012
KNA1069-RASY-080612,24,45,18,1,,0,0,0,0,0,0,DNR1069,8/6/2012,2012
KNA1090-RASY-080612,5,45,17,3,,0,0,0,0,0,0,KEN1090,8/6/2012,2012
KNA11119-RASY-081612,26,44,20,17,,0,0,0,0,0,0,KNA111-19,8/16/2012,2012
KNA1024-RASY-080812,47,44,21,33,"~ 3mm of right thigh is comparable to left, remainder of thigh/calf are underdeveloped and foot is not fully developed, digits are not differentiated.",1,0,1,0,0,0,KNA1024,8/8/2012,2012
KNA90-RASY-072312,18,44,16,16,~1mm of right calf present,1,0,1,0,0,0,KNA90,7/23/2012,2012
KNA1024-RASY-080812,45,45,21,1,"~3mm of left calf present, appears healed.",1,0,1,0,0,0,KNA1024,8/8/2012,2012
KNA01-RASY-080112,14,45,20,2,"1mm of right forelimb present, open wound",1,1,1,0,0,0,KNA01,8/1/2012,2012
KNA1062-RASY-081012,28,46,17,0,"1mm of right upper arm remaining, no open wound.",1,0,1,0,0,0,KNA1062,8/10/2012,2012
KNA215-RASY-073112,49,42,18,40,1mm portion of thigh with bone protruding and open wound on right; left leg missing,1,1,1,0,0,0,KNA215,7/31/2012,2012
KNA1081-RASY-073012,15,44,20,32,2mm appendage of soft tissue where left leg would be normally,1,0,1,0,0,0,KNA1081,7/30/2012,2012
KNA14-RASY-073112,8,46,20,0,"2mm below left ankle joint present, open wound",1,1,1,0,0,0,KNA14,7/31/2012,2012
KNA99-RASY-080812,17,46,21,0,"2mm of left calf present, no open wound",1,0,1,0,0,0,KNA99,8/8/2012,2012
KNA1081-RASY-073012,57,42,19,32,2mm of right thigh present,1,0,1,0,0,0,KNA1081,7/30/2012,2012
KNA1051-RASY-080712,60,45,18,1,2nd and 3rd digits shortened on left hind foot.,1,0,1,0,0,0,KPB1051,8/7/2012,2012
KNA1062-RASY-081012,36,45,19,1,"2nd digit missing on left hind limb, 3rd digit shortened, no open wound.",1,0,1,0,0,0,KNA1062,8/10/2012,2012
KNA1031-RASY-072912,51,43,18,22,2nd digit on left hind foot discolored-red,1,1,0,0,0,0,KPB1031,7/29/2012,2012
KNA1031-RASY-072912,52,42,19,30,2nd digit on left hind foot discolored-red,1,1,0,0,0,0,KPB1031,7/29/2012,2012
KNA1069-RASY-080612,58,46,17,0,2nd digit on left hind foot shortened; left eye smaller than normal.,1,0,1,1,0,0,DNR1069,8/6/2012,2012
KNA1040-RASY-072912,53,45,19,1,2nd digit on right hind foot is red at the toe tip,1,1,0,0,0,0,KPB1040,7/29/2012,2012
KNA1021-RASY-080712,49,46,18,0,"2nd digit shortened on left hind foot, tip missing.",1,0,1,0,0,0,KNA1021,8/7/2012,2012
KNA1012-RASY-072512,41,42,18,33,2nd digit shortened on left hind limb,1,0,1,0,0,0,KPB1012,7/25/2012,2012
KNA1062-RASY-081012,41,46,19,0,2nd digit shortened on right hind limb.,1,0,1,0,0,0,KNA1062,8/10/2012,2012
KNA215-RASY-073112,51,45,19,3,"3mm of left calf present, no open wound",1,0,1,0,0,0,KNA215,7/31/2012,2012
KNA215-RASY-073112,37,44,20,22,"3mm of left thigh present, no open wound",1,0,1,0,0,0,KNA215,7/31/2012,2012
KNA17-RASY-080312,37,45,21,4,"3mm of right calf present, wound appears partially healed",1,1,1,0,0,0,KNA17,8/3/2012,2012
KNA1024-RASY-080812,32,45,22,6,"3mm of right thigh present, appears healed.",1,0,1,0,0,0,KNA1024,8/8/2012,2012
KNA1062-RASY-081012,3,45,17,1,"3rd digit missing on left front limb, redness at site.",1,1,1,0,0,0,KNA1062,8/10/2012,2012
KNA01-RASY-080112,30,44,20,20,"4mm of left calf present, no open wound",1,0,1,0,0,0,KNA01,8/1/2012,2012
KNA1024-RASY-080812,52,45,22,2,"4mm of right calf present, no open wound.",1,0,1,0,0,0,KNA1024,8/8/2012,2012
KNA01-RASY-080112,6,46,20,0,"4mm of right thigh present, no open wound",1,0,1,0,0,0,KNA01,8/1/2012,2012
KNA1084-RASY-072812,51,42,21,39,5mm of left calf present-foot and ankle joint missing,1,0,1,0,0,0,KNA1084,7/28/2012,2012
KNA01-RASY-080112,50,45,19,3,"5th digit on right hind limb present, others shortened or missing; no open wound visible",1,0,1,0,0,0,KNA01,8/1/2012,2012
KNA11119-RASY-081612,21,45,20,2,"6mm of left thigh present, no open wound.",1,0,1,0,0,0,KNA111-19,8/16/2012,2012
KNA1051-RASY-080712,63,45,16,2,"All 5 digits on right hind foot shortened, missing tips.",1,0,1,0,0,0,KPB1051,8/7/2012,2012
KNA1064-RASY-072912,52,43,20,32,all digits missing from right hind foot,1,0,1,0,0,0,DNR1064,7/29/2012,2012
KNA1040-RASY-072912,45,46,19,0,all digits partially missing from left hind foot,1,0,1,0,0,0,KPB1040,7/29/2012,2012
KNA1069-RASY-080612,35,46,18,0,All digits shortened on right hind foot.,1,0,1,0,0,0,DNR1069,8/6/2012,2012
KNA1062-RASY-081012,49,46,17,0,All digits shortened on right hind limb.,1,0,1,0,0,0,KNA1062,8/10/2012,2012
KNA01-RASY-080112,42,46,19,0,all digits shortened/curled on left hind limb,1,0,1,0,0,0,KNA01,8/1/2012,2012
KNA90-RASY-072312,5,43,15,21,bilateral back legs missing,1,0,1,0,0,0,KNA90,7/23/2012,2012
KNA1064-RASY-072912,13,42,19,37,both hind limbs missing and very small appendage of soft tissue visible in the area where the legs would be attached,1,0,1,0,0,0,DNR1064,7/29/2012,2012
